UNIVERSO,CODIGO,DESCRICAO,NIVEL_1,NIVEL_2,NIVEL_3,RECEITA,QTD_ARMAZENAGEM,LOJAS_ATIVAS,CUSTO_MEDIO_ARM,PRECO_COMPRA_PONDERADO_UNID_COMPRA,CONVERSAO_COMPRA_ARMAZENAGEM,COMPRAS_LINHAS_COM_PRECO,PRECO_PRATICADO_ARM,MARGEM_BRUTA_RS,MARGEM_BRUTA_PCT,MARKUP,FLAG_MARGEM_NEGATIVA,PART_RECEITA_UNIVERSO_PCT,CURVA_ABC_RECEITA,RANK_RECEITA
REDE_COMPLETA,469135,FOGAO PISO 5B          FE5GP PT MBIV,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCA - FOGOES,922701.654000,376.000000,11,1397.636436,1397.636436,1.000000,5,2453.993761,1056.357324,43.046455,1.755817,0,0.191227,A,94.000000
REDE_COMPLETA,470050,LUSTRE LED 35W NE       LP-201D 5629,I - ILUMINACAO,IB - RESIDENCIAL,IBA - LUSTRES E PENDENTES,898885.795500,1909.000000,9,298.826000,298.826000,1.000000,1,470.867363,172.041363,36.537118,1.575724,0,0.186291,A,99.000000
REDE_COMPLETA,467962,COND.SPLIT 9000 EVAP.42AGVC  INV.157,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,892462.137468,1035.000000,11,534.944600,534.944600,1.000000,6,862.282258,327.337658,37.961776,1.611909,0,0.184960,A,101.000000
REDE_COMPLETA,441981,LUSTRE LED 3EM1 45W   RS LP-02R 5183,I - ILUMINACAO,IB - RESIDENCIAL,IBA - LUSTRES E PENDENTES,884293.756500,1939.000000,9,273.164000,273.164000,1.000000,7,456.056605,182.892605,40.103049,1.669534,0,0.183267,A,102.000000
REDE_COMPLETA,367905,COOKTOP 5B GAS VID.     6985 PT MBIV,D - ELETROS,DC - ELETRODOMESTICOS PARA COZINHA,DCB - FOGOES COOKTOPS,831813.601500,1193.000000,11,381.264000,381.264000,1.000000,2,697.245265,315.981265,45.318524,1.828773,0,0.172391,A,107.000000
REDE_COMPLETA,467964,COND.SPLIT 12000 EVAP.42AGVC INV.158,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,784437.578389,846.000000,11,595.565200,595.565200,1.000000,4,927.231180,331.665980,35.769502,1.556893,0,0.162572,A,112.000000
REDE_COMPLETA,455282,LAMP.LED  BULBO  T70 30W BR E27 MBIV,I - ILUMINACAO,IA - LAMPADAS,IAA - LAMPADAS LED,739146.100508,37271.000000,9,9.230800,9.230800,1.000000,50,19.831668,10.600868,53.454243,2.148424,0,0.153186,A,118.000000
REDE_COMPLETA,482509,REFLETOR LED AL.50W          5954 BR,I - ILUMINACAO,ID - JARDIM,IDE - REFLETORES,718065.558762,23785.000000,9,15.895400,15.895400,1.000000,5,30.189849,14.294449,47.348528,1.899282,0,0.148817,A,122.000000
REDE_COMPLETA,459682,"PORCEL.A 20X120 ESM.TAVO.C.EXT1,70M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,661110.735600,6286.600000,10,39.179200,39.179200,1.000000,1,105.161890,65.982690,62.743918,2.684125,0,0.137013,A,129.000000
REDE_COMPLETA,420163,LAV.ROUPA 11KG DIG LES11     BR M127,D - ELETROS,DD - LAVADORAS E SECADORES,DDA - LAVADORAS DE ROUPAS,658741.639500,363.000000,5,1094.564200,1094.564200,1.000000,1,1814.715260,720.151060,39.683970,1.657934,0,0.136522,A,130.000000
REDE_COMPLETA,479742,COND.PORT. 12000  MPH-12CRV2    M127,D - ELETROS,DA - AR E VENTILACAO,DAQ - AR CONDICIONADO SPLIT INVERTER,630952.896000,165.000000,4,2006.900000,2006.900000,1.000000,1,3823.956945,1817.056945,47.517715,1.905405,0,0.130763,A,134.000000
REDE_COMPLETA,440041,"PORCEL.A 60X120 EPO.CALA.OR.LX2,20M2",C - PISOS E REVESTIMENTOS,CA - CERAMICOS E PORCELANATOS,CAB - PORCELANATOS,629759.130000,4749.800000,10,51.765800,51.765800,1.000000,1,132.586452,80.820652,60.956946,2.561275,0,0.130516,A,136.000000
REDE_COMPLETA,439683,ASSENTO SNT PLS OVAL UNIVERSAL    BR,U - METAIS E ACESSORIOS,UC - ACESSORIOS PARA BANHEIRO,UCA - ASSENTOS SANITARIOS,628538.345720,31234.000000,9,11.956800,11.956800,1.000000,3,20.123530,8.166730,40.582990,1.683020,0,0.130263,A,137.000000
