COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO,STATUS_ESTOQUE
9,445754,-36.0,5.142857142857143,-209.99999999999997,1202.67,PRATO RASO PORC.27CM PAPAYA   101709,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445755,-50.0,5.0,-300.0,1243.2,PRATO SMES.PORC.21CM PAPAYA   101711,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445758,-23.0,2.090909090909091,-330.0,1382.5349999999999,PRATO RASO PORC.28CM OSTERIA  116400,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445759,-23.0,2.875,-240.0,1027.635,PRATO SMES.PORC.21CM OSTERIA  116398,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445760,-33.0,2.75,-360.0,1001.385,CANECA CER.260ML SAFIRA        095454,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445766,-48.0,9.6,-150.0,2010.96,XICARA CHA PORC.220ML C/P     092412,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445770,-24.0,2.6666666666666665,-270.0,1179.78,TIGELA PORC.500ML SAFIRA      095453,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445808,0.0,0.0,inf,,"PORCEL.A 60X60 EBR.CHAMPAGN.RT2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445809,-209.0,19.0,-330.0,14385.525000000001,"PORCEL.A 60X60 EBR.CHAMP.BR CE2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445814,-96.0,9.6,-300.0,1260.42,AZEITEIRO/VIN.VID.180ML         1738,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445817,0.0,0.0,inf,,"PORCEL.A 60X60 EBR.LUMINUS RT 2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445826,0.0,0.0,inf,,GARFO MESA IX JG 6PC            1825,B - UTILIDADES DOMESTICAS,SALVADOR,BA,EM RUPTURA
9,445860,-77.0,12.833333333333334,-180.0,5586.735000000001,"PORCEL.A 60X60 ESM.CEMEN.HIDRA2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445861,0.0,0.0,inf,,"PORCEL.A 60X60 ESM.CEMEN.VECCH2,20M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445880,-356.0,18.736842105263158,-570.0,10053.225,LUMI.BALIZ.SOLAR ESPETO  3W AM 18614,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445881,-232.0,14.5,-480.0,6746.04,LUMI.BALIZ.SOLAR ESPETO  3W VD 18615,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445886,-53.0,6.625,-240.0,1654.4850000000001,LUMI.LED PLS TARTARUGA BR 8W      NE,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445887,-32.0,3.2,-300.0,1896.0900000000001,LUMI.LED PLS TARTARUGA BR 15W     NE,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445892,0.0,0.0,inf,,TRILHO LED KIT 3 SPOT NE  6W PT MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445894,-9.0,4.5,-60.0,831.705,SPOT LED TRILHO PT   6W      NE MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445895,-21.0,1.9090909090909092,-330.0,6183.45,TRILHO LED KIT 3 SPOT NE  9W BR MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445896,-12.0,1.7142857142857142,-210.0,3728.34,TRILHO LED KIT 3 SPOT NE  9W PT MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445897,-5.0,5.0,-30.0,440.4750000000001,SPOT LED TRILHO BR   9W      NE MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445899,-8.0,4.0,-60.0,572.46,SPOT LED TRILHO PT   9W      NE MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445903,-24.0,4.8,-150.0,556.08,CONECTOR RETO P/TRILHO   BR    18622,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,445956,0.0,0.0,inf,,"PORCEL.A 76X76 EPO.BALAN.GREY 1,73M2",C - PISOS E REVESTIMENTOS,SALVADOR,BA,EM RUPTURA
9,445975,-8.0,2.6666666666666665,-90.0,2454.2700000000004,PAINEL LED EMB. 30W BR  62X31   MBIV,I - ILUMINACAO,SALVADOR,BA,EM RUPTURA
9,446034,-103.0,7.923076923076923,-390.0,34026.405,FECH.DIG.SOB.                 FSP100,"G - PORTAS, JANELAS E FECHADURAS",SALVADOR,BA,EM RUPTURA
